CustomerID,FirstName,LastName,Email,PhoneNumber,AddressLine1,AddressLine2,City,State,PostalCode,Country,DateOfBirth,JoinDate
1,Lindsay,Kennedy,zabbott@example.org,360.430.3914x81642,903 Emily Stream,Apt. 993,Lake Robert,New Hampshire,97061,Norfolk Island,1994-08-25,2024-03-29
2,Michelle,Morales,tking@example.net,6286137418,827 Brian Villages,Apt. 388,East Catherine,Missouri,05062,Trinidad and Tobago,2000-04-30,2021-02-23
3,Melissa,Middleton,yvette09@example.org,(207)717-7846,1403 Ronnie Inlet Apt. 797,Apt. 953,Lake Amyport,Hawaii,91733,Bouvet Island (Bouvetoya),1986-12-24,2024-06-16
4,William,Gonzalez,james19@example.org,8037334542,570 Cameron Lake Apt. 083,Apt. 502,Desireemouth,Delaware,27455,Sierra Leone,1960-05-25,2020-07-03
5,Tina,Bell,morganjonathan@example.org,278-495-0246x8113,30962 Anthony Coves,Suite 888,Amandahaven,South Carolina,55603,Puerto Rico,1996-01-31,2022-09-20
6,Sheila,Williams,timothygonzalez@example.com,7616161525,1375 Rebecca Trafficway,Suite 200,Lake Anthony,Nevada,66308,Sierra Leone,1982-01-04,2021-04-04
7,Jeffery,Jones,collinsjanice@example.net,(225)488-6899x132,32703 Carlos Park,Suite 577,Kimberlytown,Mississippi,80904,Israel,1965-06-08,2024-01-06
8,Randy,Foster,aliciabest@example.net,001-534-661-3879x63953,12496 Robert Flat Apt. 358,Suite 118,West Amyborough,West Virginia,09429,Togo,1971-03-13,2023-04-30
9,Amanda,Rojas,wilsonantonio@example.com,269-232-5226x122,252 Sullivan Ridges Apt. 955,Suite 635,Seanbury,Mississippi,89593,Angola,2001-05-30,2022-04-23
10,John,Payne,smorris@example.com,001-657-957-5911x05564,946 Kyle Circles Apt. 426,Apt. 918,New Diane,Tennessee,40330,Venezuela,1967-05-10,2020-08-01
11,William,Roberts,wwalter@example.org,+1-572-640-5646,5924 Gregory Valleys Suite 222,Suite 455,West James,New Mexico,86390,Oman,1967-09-16,2021-11-08
12,Allison,Nguyen,jacobsmegan@example.org,740.888.3553x615,3474 Jordan Estate Suite 357,Suite 499,Lisaberg,North Carolina,03639,Liberia,1957-01-21,2024-04-15
13,Kayla,Bradley,jjones@example.com,498.922.3560,697 Russell Forest Apt. 235,Suite 786,Port Rickyberg,Virginia,56815,French Polynesia,1969-02-07,2020-09-13
14,Timothy,Mckay,davidsonalicia@example.org,001-464-790-9461x2422,7056 Shaw Island Apt. 948,Apt. 984,North Johnborough,New Jersey,56609,Afghanistan,2000-05-04,2023-04-25
15,Richard,Rocha,zscott@example.com,+1-352-339-8916x879,21560 Robin Shoals Suite 042,Suite 966,Lake Caleb,Illinois,97150,Saint Helena,1959-10-28,2022-02-22
16,John,Adams,heather29@example.net,696-687-3460,98705 Richard Walk,Suite 814,Weavertown,Oregon,21851,Tajikistan,1995-08-12,2020-07-23
17,Kenneth,Jackson,michaelpowell@example.net,393.340.9723x96936,513 Jonathan Ramp Suite 569,Apt. 803,Christinaland,Kansas,64320,Algeria,1961-07-30,2021-05-13
18,Joseph,Macias,morganelizabeth@example.org,(737)607-9388x59992,6546 Jessica Squares Apt. 584,Apt. 861,East Brianview,North Carolina,63920,Grenada,1970-04-21,2021-06-29
19,Jessica,Carrillo,corey14@example.com,935.502.0572x881,09501 Armstrong Springs,Suite 044,Valerieland,South Dakota,27580,Uruguay,1970-05-03,2020-07-15
20,Amanda,Jones,bobby31@example.net,(850)686-3733x03259,40523 Dougherty Mountain,Apt. 675,North Zachary,Pennsylvania,54682,Nauru,1994-08-27,2021-01-30
21,Roger,Jones,dbates@example.org,605-826-9652x1529,087 William Tunnel,Suite 199,West Michelleport,Michigan,26360,Nauru,1981-03-31,2021-08-13
22,Diane,White,kristenmiller@example.org,(285)725-4507,673 Diaz Mountain Apt. 967,Apt. 437,Evansview,Wisconsin,50911,Austria,2000-07-04,2021-03-01
23,Martha,Foster,gregrivera@example.com,710.348.8432,3230 Nicholas Lights Apt. 911,Suite 604,North Lisa,Oklahoma,95722,Tunisia,1983-08-25,2023-01-31
24,Jonathan,Smith,wirwin@example.net,986-546-2417,62770 Singleton Stream Apt. 266,Apt. 682,Walshtown,West Virginia,93094,Guernsey,1958-05-03,2022-05-05
25,Samantha,Brown,susan00@example.net,(415)915-0671,9164 Serrano Glen Suite 507,Suite 899,Johnport,Massachusetts,61370,Iraq,1985-05-04,2024-04-25
26,Andrew,Hoover,greenebonnie@example.com,9004760412,1764 Petty Coves Suite 189,Apt. 635,South Michael,Nebraska,91272,Saint Kitts and Nevis,1992-04-13,2023-07-03
27,Lynn,Callahan,sprice@example.com,757.566.4827x027,4155 Bird Street Suite 001,Apt. 388,Amberside,New York,35383,South Georgia and the South Sandwich Islands,1986-10-15,2023-12-12
28,Caroline,Grimes,jessicapowers@example.org,376.716.1486x62925,54365 Sandra Spurs,Suite 140,West Amber,Vermont,75567,Panama,1993-07-17,2024-04-13
